Time, q_r1, q_r2, q_r3, q_r4, q_r5, q_r6, q_r7, q_r8, q_r9, dq_r1, dq_r2, dq_r3, dq_r4, dq_r5, dq_r6, dq_r7, dq_r8, dq_r9, q_n1, q_n2, q_n3, q_n4, q_n5, q_n6, q_n7, q_n8, q_n9, dq_n1, dq_n2, dq_n3, dq_n4, dq_n5, dq_n6, dq_n7, dq_n8, dq_n9
0.03, 0, 0, 0, 2.87077, 1.88282, -2.01196, 0.20767, -1.90488, 3.08143, 0, 0, -0, -0, -0, 0, -0, -0, -0.107265, 2.63772e-08, 6.70033e-09, 1.67403e-08, 2.87075, 1.88281, -2.01196, 0.207667, -1.90497, 3.08063, 3.70568e-07, 9.31361e-08, 2.32675e-07, -0.00223297, -0.00137264, 0.00014221, -0.000240246, -0.00336987, -0.174333, 
0.13, 0, 0, 0, 2.87001, 1.88242, -2.01185, 0.207649, -1.90487, 3.06599, 0, 0, -0, -0.0269397, -0.0150546, 0, -0, -0, -0.154727, 3.47646e-08, 7.23601e-09, 1.80466e-08, 2.86874, 1.8815, -2.01167, 0.207516, -1.90505, 3.06386, 1.09533e-07, -1.51956e-08, -3.88298e-08, -0.0469662, -0.0307763, 0.00708891, -0.00344301, 0.00300918, -0.167733, 
0.23, 0, 0, 0, 2.8631, 1.87773, -2.01102, 0.207342, -1.90458, 3.04891, 0, 0, -0, -0.119644, -0.0800269, 0.0166393, -0.00284774, 0.00759396, -0.192697, 6.41763e-08, 5.30588e-09, 1.30354e-08, 2.85973, 1.87559, -2.0103, 0.206862, -1.90417, 3.04572, 5.32139e-07, -2.53748e-08, -6.66242e-08, -0.140241, -0.0919952, 0.0214657, -0.0101407, 0.0152994, -0.202181, 
0.33, 0, 0, 0, 2.84438, 1.86516, -2.00836, 0.206292, -1.90308, 3.02657, 0, 0, -0, -0.257512, -0.170354, 0.0388249, -0.0161372, 0.0227819, -0.26389, 1.47555e-07, 1.299e-09, 2.51823e-09, 2.83945, 1.86229, -2.00719, 0.205398, -1.90184, 3.022, 1.18685e-06, -6.38252e-08, -1.66805e-07, -0.270714, -0.17758, 0.0415159, -0.0195215, 0.031905, -0.279297, 
0.43, 0, 0, 0, 2.81124, 1.84319, -2.00329, 0.204142, -1.89961, 2.99453, 0, 0, -0, -0.412812, -0.270982, 0.06418, -0.0313251, 0.0436653, -0.380647, 3.02887e-07, -9.97667e-09, -2.6673e-08, 2.8047, 1.8395, -2.00186, 0.202894, -1.8977, 2.98845, 1.96665e-06, -1.83428e-07, -4.72011e-07, -0.427889, -0.280655, 0.0656333, -0.0308354, 0.0513743, -0.398638, 
0.53, 0, 0, 0, 2.76129, 1.81018, -1.99574, 0.200692, -1.89405, 2.94886, 0, 0, -0, -0.588713, -0.393796, 0.0927044, -0.0522085, 0.0654979, -0.525882, 5.35504e-07, -3.9916e-08, -1.03264e-07, 2.75331, 1.80579, -1.99398, 0.19919, -1.89152, 2.94099, 2.72476e-06, -4.52773e-07, -1.15423e-06, -0.602156, -0.39493, 0.0923554, -0.0433928, 0.0724398, -0.556317, 
0.63, 2.10021e-06, 2.10021e-06, 2.91696e-06, 2.6934, 1.76553, -1.98521, 0.195931, -1.88629, 2.88598, 0.00044215, 0.00044215, 0.000614097, -0.77016, -0.506309, 0.115682, -0.0569547, 0.0949246, -0.724274, 8.34648e-07, -1.06155e-07, -2.71616e-07, 2.68399, 1.76033, -1.98335, 0.194195, -1.88319, 2.87616, 3.28478e-06, -9.22878e-07, -2.34107e-06, -0.784795, -0.5147, 0.120357, -0.0565642, 0.094034, -0.744653, 
0.73, 7.84816e-06, 3.31613e-07, 4.60573e-07, 2.60697, 1.70861, -1.97189, 0.189844, -1.87638, 2.80337, 0, 0, -0, -0.955569, -0.629915, 0.145792, -0.0635995, 0.117706, -0.936905, 1.17125e-06, -2.28772e-07, -5.82149e-07, 2.59633, 1.70283, -1.9699, 0.187876, -1.87272, 2.7914, 3.45708e-06, -1.58557e-06, -4.01095e-06, -0.967973, -0.634834, 0.148444, -0.0697805, 0.115281, -0.952722, 
0.83, 7.84816e-06, 3.31613e-07, 4.60573e-07, 2.50228, 1.63976, -1.95574, 0.182397, -1.86399, 2.69958, 0, 0, -0, -1.1283, -0.739258, 0.178278, -0.0683457, 0.143336, -1.1315, 1.49834e-06, -4.22676e-07, -1.07217e-06, 2.49061, 1.6335, -1.95369, 0.180254, -1.86017, 2.68539, 3.07813e-06, -2.34154e-06, -5.91293e-06, -1.14472, -0.750764, 0.175553, -0.0825331, 0.135472, -1.16755, 
0.93, 1.20486e-05, 1.10538e-07, 1.53524e-07, 2.38037, 1.55945, -1.93701, 0.173575, -1.84981, 2.57447, -0.000663225, -0.0008843, -0.00122819, -1.30182, -0.851771, 0.198086, -0.103468, 0.156626, -1.35267, 1.75675e-06, -6.88263e-07, -1.74238e-06, 2.36781, 1.55296, -1.93486, 0.171399, -1.84568, 2.55812, 2.07668e-06, -3.00116e-06, -7.5691e-06, -1.30891, -0.858472, 0.200753, -0.0943758, 0.154025, -1.37562, 
