Time, xr, yr, zr, q0r, q1r, q2r, q3r, xn, yn, zn, q0n, q1n, q2n, q3n
0.064, 0.64984, -0.176514, 0.579153, -0.000464034, 0.000186095, 1, -3.00713e-05, 0.649826, -0.176554, 0.579161, -0.000488679, 0.000184979, 1, -7.71785e-05, 
0.164, 0.64987, -0.177406, 0.579568, -0.000426372, 0.000184709, 0.999999, -0.00115146, 0.649846, -0.177497, 0.579593, -0.000467622, 0.000181579, 0.999999, -0.00124403, 
0.264, 0.649887, -0.177821, 0.579765, -0.000404816, 0.000184399, 0.999999, -0.00167361, 0.649855, -0.178, 0.579811, -0.000454384, 0.000177121, 0.999998, -0.00182342, 
0.364, 0.649898, -0.17788, 0.5798, -0.00039206, 0.000183358, 0.999998, -0.00174731, 0.649855, -0.178082, 0.579814, -0.000450224, 0.000172968, 0.999998, -0.00182101, 
0.464, 0.649924, -0.177704, 0.579745, -0.000357836, 0.000184559, 0.999999, -0.0015203, 0.649848, -0.177841, 0.579643, -0.000453709, 0.000170082, 0.999999, -0.00134576, 
0.564, 0.649918, -0.177373, 0.579593, -0.000300408, 0.000322438, 0.999999, -0.000963987, 0.649838, -0.177422, 0.579362, -0.000460992, 0.000168552, 1, -0.000571884, 
0.664, 0.649872, -0.177145, 0.579427, -0.000218068, 0.00061739, 1, -0.000316691, 0.64983, -0.176986, 0.579047, -0.000467094, 0.000167629, 1, 0.000304023, 
0.764, 0.649962, -0.176975, 0.579221, -0.000185321, 0.000962417, 0.999999, 0.000353845, 0.649827, -0.176676, 0.578764, -0.000467527, 0.00016609, 0.999999, 0.00110207, 
0.864, 0.650026, -0.176948, 0.579185, -1.79168e-05, 0.00117387, 0.999999, 0.000804294, 0.649831, -0.176596, 0.578563, -0.000459573, 0.000162733, 0.999998, 0.00168813, 
0.964, 0.649987, -0.177259, 0.579063, -0.000105757, 0.00143885, 0.999998, 0.000982444, 0.64984, -0.176801, 0.57847, -0.000442832, 0.000156766, 0.999998, 0.00198948, 
1.064, 0.649903, -0.17781, 0.578992, -0.000210155, 0.00170882, 0.999998, 0.000977625, 0.649853, -0.177292, 0.578486, -0.000418949, 0.000147985, 0.999998, 0.0019967, 
1.164, 0.650031, -0.178412, 0.579158, -2.93059e-05, 0.00185828, 0.999998, 0.000874286, 0.649868, -0.178028, 0.578595, -0.000390779, 0.000136742, 0.999998, 0.00175398, 
1.264, 0.650057, -0.179194, 0.579276, 2.81795e-05, 0.00203949, 0.999998, 0.000657162, 0.649882, -0.178935, 0.578768, -0.000361358, 0.000123755, 0.999999, 0.00134159, 
1.364, 0.649973, -0.180021, 0.579313, -5.17903e-05, 0.00214178, 0.999998, 0.000393462, 0.649894, -0.179926, 0.578967, -0.000333054, 0.000109885, 1, 0.000855165, 
1.464, 0.650065, -0.180845, 0.579493, 8.73024e-05, 0.00222911, 0.999997, 0.000168198, 0.649902, -0.18092, 0.57916, -0.000307109, 9.59391e-05, 1, 0.000385986, 
1.564, 0.65008, -0.18157, 0.579596, 0.000162744, 0.00227361, 0.999997, 3.06667e-05, 0.649907, -0.181848, 0.579319, -0.000283639, 8.25462e-05, 1, 5.63892e-06, 
1.664, 0.650035, -0.182288, 0.579553, 2.43125e-05, 0.0023218, 0.999997, -0.000117837, 0.64991, -0.182665, 0.57943, -0.000261976, 7.01168e-05, 1, -0.000243034, 
1.764, 0.650092, -0.183025, 0.579715, 0.000200113, 0.00238992, 0.999997, -0.000218147, 0.649912, -0.183351, 0.579487, -0.000241175, 5.88554e-05, 1, -0.000348215, 
1.864, 0.650106, -0.183603, 0.57973, 0.000216382, 0.00236146, 0.999997, -0.000224941, 0.649914, -0.183907, 0.579496, -0.000220493, 4.8808e-05, 1, -0.00032544, 
1.964, 0.650049, -0.184135, 0.579729, 0.000221039, 0.00240855, 0.999997, -0.000209556, 0.649915, -0.184352, 0.579469, -0.00019969, 3.99198e-05, 1, -0.000209728, 
2.064, 0.650148, -0.184593, 0.579721, 0.000231055, 0.00235829, 0.999997, -0.000164231, 0.649917, -0.184713, 0.579424, -0.000179111, 3.20893e-05, 1, -4.5675e-05, 
2.164, 0.650157, -0.184999, 0.579828, 0.000421683, 0.00237861, 0.999997, -9.01261e-05, 0.649919, -0.185017, 0.579376, -0.000159552, 2.52108e-05, 1, 0.000122334, 
2.264, 0.650129, -0.185331, 0.579652, 0.000196723, 0.00227014, 0.999997, -3.82725e-05, 0.649921, -0.185287, 0.579338, -0.000142005, 1.92022e-05, 1, 0.000258077, 
2.364, 0.650084, -0.185594, 0.579682, 0.000244581, 0.00213797, 0.999998, -2.92031e-05, 0.649923, -0.185539, 0.579319, -0.000127372, 1.40186e-05, 1, 0.000338513, 
2.464, 0.650099, -0.185911, 0.579708, 0.00027935, 0.00210952, 0.999998, -3.21436e-05, 0.649923, -0.185777, 0.579321, -0.000116236, 9.65087e-06, 1, 0.000355495, 
2.564, 0.650175, -0.18607, 0.579773, 0.000369361, 0.00197209, 0.999998, -3.81785e-05, 0.649922, -0.185998, 0.579342, -0.000108744, 6.11189e-06, 1, 0.000314485, 
2.664, 0.650184, -0.186269, 0.579792, 0.000390292, 0.0019909, 0.999998, -5.018e-05, 0.649921, -0.186193, 0.579376, -0.000104598, 3.41408e-06, 1, 0.000231015, 
2.764, 0.650215, -0.186344, 0.579802, 0.000396653, 0.0019023, 0.999998, -6.45079e-05, 0.64992, -0.186354, 0.579417, -0.000103148, 1.5406e-06, 1, 0.000125957, 
